5,9,12,30,33,39,45
7,16,23,29,36,39,42
1,3,11,17,24,34,43
12,18,22,28,33,43,45
7,10,13,17,30,32,41
1,4,5,23,29,33,45
4,23,26,31,35,39,41
3,6,26,28,32,33,41
4,10,15,17,26,30,41
5,9,14,18,19,23,29
2,12,17,31,35,39,40
1,6,12,22,29,40,44
2,4,11,26,36,38,41
16,23,25,27,28,37,44
3,8,20,22,23,37,41
2,3,8,14,17,20,21
4,5,23,26,28,30,32
1,3,5,11,13,21,35
6,17,25,27,33,41,45
2,3,5,18,21,25,34
1,7,8,9,20,43,45
3,4,14,19,20,33,45
13,21,22,23,27,32,39
4,6,15,20,23,25,28
19,20,22,27,32,38,45
1,6,8,9,10,19,29
4,8,10,16,19,22,25
1,2,5,9,24,26,33
13,24,25,30,31,41,44
4,12,26,35,37,39,44
3,9,12,15,17,23,29
2,17,23,27,32,34,40
1,2,20,24,26,33,43
16,20,23,26,29,33,35
3,11,12,14,17,28,40
2,11,13,19,25,40,43
8,16,22,26,29,32,43
13,16,23,27,35,37,44
2,8,10,28,36,42,43
2,3,16,34,36,42,45
5,13,16,27,33,37,45
8,12,26,34,38,42,44
4,20,24,27,29,31,35
12,16,17,25,38,40,41
17,19,22,39,41,43,44
11,14,15,38,39,42,43
15,17,20,22,23,39,45
2,6,9,28,30,32,37
2,3,5,15,21,34,43
3,6,33,36,37,38,44
8,18,23,24,33,34,43
2,8,17,21,25,31,38
11,22,32,33,37,42,45
3,5,9,14,31,32,41
3,6,21,25,33,37,43
6,7,9,16,30,31,38
2,4,9,18,29,36,43
6,11,12,24,29,36,39
7,8,14,16,23,24,41
4,6,13,23,32,34,39
6,10,18,20,27,33,37
7,10,12,19,24,27,38
17,23,27,32,35,36,39
13,24,26,31,35,42,45
2,16,20,22,29,33,44
1,2,21,26,32,34,40
8,18,19,23,28,29,38
1,2,6,18,19,25,37
3,14,19,28,36,40,43
18,19,28,29,33,37,39
3,6,9,11,22,38,44
3,5,25,26,27,38,43
1,2,4,17,33,35,39
3,10,13,32,39,40,41
10,14,17,24,30,34,37
4,7,13,25,31,38,43
4,12,26,31,33,35,44
4,5,17,25,34,39,43
4,5,7,17,40,42,45
1,2,13,18,20,33,44
8,20,23,27,32,41,45
9,11,22,24,28,33,34
1,6,14,23,31,32,41
5,7,8,15,20,32,41
6,14,15,16,35,37,44
6,11,14,25,34,39,44
1,2,3,25,26,35,36
1,8,12,17,25,43,45
10,27,30,34,35,40,43
12,15,20,26,40,41,42
3,15,24,29,32,37,45
11,13,16,29,37,41,42
6,11,14,17,23,38,45
3,5,9,11,15,16,33
1,4,14,15,26,27,33
1,2,8,18,19,21,28
12,13,17,24,26,27,37
9,16,18,22,28,31,43
2,10,11,26,30,34,40
7,14,25,27,36,37,42
11,19,23,28,32,36,39
2,4,8,10,22,32,39
13,20,26,32,35,38,43
4,9,16,34,38,41,44
2,3,4,6,31,32,37
1,6,12,27,29,33,38
10,12,17,18,22,27,29
14,18,30,31,37,40,42
2,3,18,30,35,36,39
3,8,15,19,20,31,40
6,9,12,21,23,32,42
8,13,18,28,29,35,39
9,15,20,26,36,38,44
9,22,23,28,29,42,45
8,9,26,32,34,37,39
5,10,13,17,18,21,37
10,11,12,14,21,29,31
5,7,13,14,16,18,38
15,19,21,22,26,39,45
2,7,20,30,32,33,39
2,4,5,10,12,25,29
3,5,13,21,28,29,41
3,11,19,21,23,24,33
5,6,11,16,17,25,44
4,6,13,15,16,32,33
2,5,19,23,35,36,37
7,11,15,25,38,39,45
17,24,25,26,28,33,42
3,13,14,15,18,28,40
5,9,13,14,16,30,38
6,12,14,24,30,33,34
17,19,27,28,33,34,35
2,6,11,13,16,23,40
7,8,17,18,22,29,40
13,16,17,24,25,27,32
1,3,4,11,27,30,31
8,10,14,16,25,26,28
3,7,16,17,28,33,39
7,14,15,29,34,35,40
7,10,25,27,34,35,40
9,14,16,30,31,39,45
14,20,24,28,35,38,43
4,10,18,22,30,31,35
1,4,5,12,15,28,44
3,5,16,17,33,40,44
8,11,18,20,31,35,37
